measurement_id	target	query_argument	nsid_raw	valid_count	invalid_count	total_count
173811469	194.146.106.46	fr.	s2.fix	1	0	1
173811469	194.146.106.46	fr.	s2.hel	1	0	1
173811469	194.146.106.46	fr.	s2.jak	2	0	2
173811469	194.146.106.46	fr.	s2.lju	3	0	3
173811469	194.146.106.46	fr.	s2.lon	2	0	2
173811469	194.146.106.46	fr.	s2.lux	1	0	1
173811469	194.146.106.46	fr.	s2.mex	1	0	1
173811469	194.146.106.46	fr.	s2.mix	4	0	4
173811469	194.146.106.46	fr.	s2.rix	1	0	1
173811469	194.146.106.46	fr.	s2.rox	5	0	5
173811469	194.146.106.46	fr.	s2.sof	6	0	6
173811469	194.146.106.46	fr.	s2.stm	2	0	2
173811469	194.146.106.46	fr.	s2.sto	3	0	3
173811469	194.146.106.46	fr.	s2.tll	3	0	3
173811469	194.146.106.46	fr.	s2.tok	1	0	1
173811469	194.146.106.46	fr.	s2.vno	4	0	4
173811469	194.146.106.46	fr.	s2.wie	3	0	3
173811469	194.146.106.46	fr.	s2.yvr	7	0	7
173811469	194.146.106.46	fr.	s2.zrh	3	0	3
173811470	194.0.36.1	fr.	1.ams.pch	3	0	3
173811470	194.0.36.1	fr.	1.ath.pch	1	0	1
173811470	194.0.36.1	fr.	1.bru.pch	1	0	1
173811470	194.0.36.1	fr.	1.bts.pch	1	0	1
173811470	194.0.36.1	fr.	1.bud.pch	2	0	2
173811470	194.0.36.1	fr.	1.cdg.pch	4	0	4
173811470	194.0.36.1	fr.	1.fra.pch	2	0	2
173811470	194.0.36.1	fr.	1.ham.pch	1	0	1
173811470	194.0.36.1	fr.	1.lhr.pch	1	0	1
173811470	194.0.36.1	fr.	1.lis.pch	1	0	1
173811470	194.0.36.1	fr.	1.lju.pch	2	0	2
173811470	194.0.36.1	fr.	1.mad.pch	2	0	2
173811470	194.0.36.1	fr.	1.rix.pch	3	0	3
173811470	194.0.36.1	fr.	1.skg.pch	2	0	2
173811470	194.0.36.1	fr.	1.sof.pch	1	0	1
173811470	194.0.36.1	fr.	1.tmp.pch	1	0	1
173811470	194.0.36.1	fr.	1.trn.pch	1	0	1
173811470	194.0.36.1	fr.	1.vie.pch	3	0	3
173811470	194.0.36.1	fr.	1.waw.pch	2	0	2
173811470	194.0.36.1	fr.	1.waw2.pch	1	0	1
173811470	194.0.36.1	fr.	2.ams.pch	1	0	1
173811470	194.0.36.1	fr.	2.arn.pch	1	0	1
173811470	194.0.36.1	fr.	2.beg.pch	1	0	1
173811470	194.0.36.1	fr.	2.bom2.pch	1	0	1
173811470	194.0.36.1	fr.	2.bru.pch	1	0	1
173811470	194.0.36.1	fr.	2.bts.pch	3	0	3
173811470	194.0.36.1	fr.	2.bud.pch	1	0	1
173811470	194.0.36.1	fr.	2.fra.pch	1	0	1
173811470	194.0.36.1	fr.	2.lju.pch	1	0	1
173811470	194.0.36.1	fr.	2.mad.pch	1	0	1
173811470	194.0.36.1	fr.	2.prg.pch	1	0	1
173811470	194.0.36.1	fr.	2.sof.pch	2	0	2
173811470	194.0.36.1	fr.	2.tmp.pch	2	0	2
173811470	194.0.36.1	fr.	2.waw.pch	2	0	2
173811470	194.0.36.1	fr.	2.zrh.pch	1	0	1
173811470	194.0.36.1	fr.	3.ams.pch	3	0	3
173811470	194.0.36.1	fr.	3.arn.pch	1	0	1
173811470	194.0.36.1	fr.	3.fra.pch	2	0	2
173811470	194.0.36.1	fr.	4.ams.pch	2	0	2
173811470	194.0.36.1	fr.	4.dub.pch	1	0	1
173811470	194.0.36.1	fr.	5.ams.pch	2	0	2
173811470	194.0.36.1	fr.	5.arn.pch	1	0	1
173811470	194.0.36.1	fr.	5.fra.pch	2	0	2
173811470	194.0.36.1	fr.	6.ams.pch	3	0	3
173811470	194.0.36.1	fr.	6.fra.pch	1	0	1
173811470	194.0.36.1	fr.	7.arn.pch	2	0	2
173811470	194.0.36.1	fr.	7.fra.pch	1	0	1
173811470	194.0.36.1	fr.	8.fra.pch	2	0	2
173811470	194.0.36.1	fr.	nomi83.percipientnetworks.com	0	1	1
173811471	194.0.12.1	cz.	dns-b-dns02.nic.cz	1	0	1
173811471	194.0.12.1	cz.	dns-b-dns03.nic.cz	1	0	1
173811471	194.0.12.1	cz.	dns-cecolo-dns02.nic.cz	2	0	2
173811471	194.0.12.1	cz.	dns-cecolo-dns03.nic.cz	1	0	1
173811471	194.0.12.1	cz.	dns-cecolo-dns04.nic.cz	2	0	2
173811471	194.0.12.1	cz.	dns-cecolo-dns07.nic.cz	1	0	1
173811471	194.0.12.1	cz.	dns-chile-02.nic.cz	1	0	1
173811471	194.0.12.1	cz.	dns-cra-dns01.nic.cz	1	0	1
173811471	194.0.12.1	cz.	dns-cra-dns03.nic.cz	2	0	2
173811471	194.0.12.1	cz.	dns-cra-dns04.nic.cz	1	0	1
173811471	194.0.12.1	cz.	dns-cra-dns07.nic.cz	1	0	1
173811471	194.0.12.1	cz.	dns-cra-dns08.nic.cz	1	0	1
173811471	194.0.12.1	cz.	dns-cra-dns10.nic.cz	1	0	1
173811471	194.0.12.1	cz.	dns-decix-dns01.nic.cz	8	0	8
173811471	194.0.12.1	cz.	dns-decix-dns02.nic.cz	13	0	13
173811471	194.0.12.1	cz.	dns-decix-dns03.nic.cz	12	0	12
173811471	194.0.12.1	cz.	dns-jinx-02.nic.cz	22	0	22
173811471	194.0.12.1	cz.	dns-mix-01.nic.cz	1	0	1
173811471	194.0.12.1	cz.	dns-sixusa-dns01.nic.cz	3	0	3
173811471	194.0.12.1	cz.	dns-sixusa-dns02.nic.cz	2	0	2
173811471	194.0.12.1	cz.	dns-vodafone-01.nic.cz	1	0	1
