measurement_id	probe_id	target	dst_addr	query_argument	query_type	description	atlas_type	protocol	from_addr	src_addr	timestamp	stored_timestamp	rtt_ms	rcode	answer_type	answer_count	additional_count	response_size	nsid_raw	nsid_hex	has_abuf	is_valid_dns_observation	invalid_reason
173811458	19848	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	87.21.52.244	192.168.1.4	1779560792	1779560795	23.841	NOERROR	SOA	1	1	130	zaventem1.ns.prodng.dc3.be	7a6176656e74656d312e6e732e70726f646e672e6463332e6265	True	True	
173811458	2023	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	88.12.133.165	192.168.1.99	1779560796	1779560801	2168.573	NOERROR	SOA	1	1	130	zaventem1.ns.prodng.dc3.be	7a6176656e74656d312e6e732e70726f646e672e6463332e6265	True	True	
173811458	21300	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	212.52.62.72	192.168.68.113	1779560787	1779560792	42.977	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	26271	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	185.139.170.3	10.0.1.164	1779560792	1779560800	44.026	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	28458	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	31.7.206.118	10.1.0.10	1779560792	1779560795	33.806	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	28797	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	85.14.20.242	85.14.20.242	1779560793	1779560795	30.906	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
173811458	29746	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	85.239.64.22	85.239.64.22	1779560793	1779560795	26.152	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
173811458	31949	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	94.113.168.240	192.168.0.100	1779560793	1779560796	28.114	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
173811458	33531	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	164.215.10.254	192.168.0.2	1779560794	1779560796	64.746	NOERROR	SOA	1	1	130	zaventem1.ns.prodng.dc3.be	7a6176656e74656d312e6e732e70726f646e672e6463332e6265	True	True	
173811458	34582	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	80.71.142.30	10.30.23.202	1779560786	1779560840	26.94	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
173811458	35021	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	46.151.16.4	46.151.16.4	1779560787	1779560793	37.033	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	3604	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	151.249.108.149	10.35.15.136	1779560788	1779560804	1920.469	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
173811458	50525	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	193.32.247.8	193.32.247.8	1779560794	1779560795	165.081	NOERROR	SOA	1	1	130	zaventem1.ns.prodng.dc3.be	7a6176656e74656d312e6e732e70726f646e672e6463332e6265	True	True	
173811458	50558	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	213.217.192.239	192.168.7.211	1779560795	1779560796	54.067	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
173811458	50893	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	193.64.244.133	192.168.1.2	1779560792	1779560795	76.83	NOERROR	SOA	1	1	130	zaventem1.ns.prodng.dc3.be	7a6176656e74656d312e6e732e70726f646e672e6463332e6265	True	True	
173811458	50904	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	195.13.221.77	10.0.3.10	1779560788	1779560792	44.014	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
173811458	51111	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	82.121.145.120	192.168.1.18	1779560793	1779560795	41.19	NOERROR	SOA	1	1	130	zaventem1.ns.prodng.dc3.be	7a6176656e74656d312e6e732e70726f646e672e6463332e6265	True	True	
173811458	52298	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	185.79.33.22	192.168.1.93	1779560789	1779560793	44.268	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	52570	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	90.157.135.171	192.168.10.102	1779560788	1779560799	24.382	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
173811458	53232	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	213.219.161.110	172.22.255.24	1779560794	1779560795	28.383	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	53504	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	5.253.129.251	5.253.129.251	1779560795	1779560795	34.946	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	53795	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	64.43.12.207	192.168.1.155	1779560787	1779560791	38.627	SERVFAIL		0	1	31			True	False	rcode_SERVFAIL
173811458	53809	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	185.254.249.71	192.168.5.253	1779560793	1779560795	39.369	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
173811458	54115	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	128.131.66.33	128.131.66.33	1779560792	1779560795	34.54	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
173811458	54670	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	78.58.34.116	192.168.1.235	1779560795	1779560795	40.003	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
173811458	54790	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	85.127.99.140	192.168.0.188	1779560795	1779560795	61.564	NOERROR	SOA	1	1	128	prague1.ns.prodng.dc3.be	707261677565312e6e732e70726f646e672e6463332e6265	True	True	
173811458	55254	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	81.182.126.58	192.168.178.55	1779560794	1779560796	38.049	NOERROR	SOA	1	1	130	zaventem1.ns.prodng.dc3.be	7a6176656e74656d312e6e732e70726f646e672e6463332e6265	True	True	
173811458	55502	194.0.43.1	194.0.43.1	be.	SOA	thesis-anycast-locality SOA NSID be. via c.nsset.be 194.0.43.1	dns	UDP	194.107.137.159	192.168.18.63	1779560787	1779560800	33.646	NOERROR	SOA	1	1	128	london1.ns.prodng.dc3.be	6c6f6e646f6e312e6e732e70726f646e672e6463332e6265	True	True	
