measurement_id	cctld	nameserver	target	query_argument	nsid_raw	count	classification_status	city	country_code	region_class	classification_confidence	classification_method	matched_rule_priority	matched_rule_pattern	classification_note
173811461	.nl	ns1.dns.nl	194.0.28.53	nl.	eqx-ny-ns03-129888	1	classified	New York	US	Other non EU	high	regex	40	^eqx-ny-	Equinix style city code
173811461	.nl	ns1.dns.nl	194.0.28.53	nl.	eqx-pa-ns01-129888	10	classified	Paris	FR	EU	high	regex	40	^eqx-pa-	Equinix style city code
173811461	.nl	ns1.dns.nl	194.0.28.53	nl.	eqx-sk-ns11-128214	9	classified	Stockholm	SE	EU	medium	regex	40	^eqx-sk-	Equinix style regional code
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-ams1	2	classified	Amsterdam	NL	EU	high	regex	30	^tld-all-ams[0-9](?:@.*)?$	City code in tld-all NSID
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-amx1@53024	4	classified	Amsterdam	NL	EU	medium	regex	30	^tld-all-amx[0-9](?:@.*)?$	AMX interpreted as Amsterdam exchange style label
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-ber1@53024	1	classified	Berlin	DE	EU	high	regex	30	^tld-all-ber[0-9](?:@.*)?$	City code in tld-all NSID
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-blr1@53024	1	classified	Bengaluru	IN	Other non EU	high	regex	30	^tld-all-blr[0-9](?:@.*)?$	City code in tld-all NSID
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-buc1@53024	6	classified	Bucharest	RO	EU	high	regex	30	^tld-all-buc[0-9](?:@.*)?$	City code in tld-all NSID
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-bud1@53024	3	classified	Budapest	HU	EU	high	regex	30	^tld-all-bud[0-9](?:@.*)?$	City code in tld-all NSID
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-fam1@53024	10	classified	Frankfurt	DE	EU	medium	regex	30	^tld-all-fam[0-9](?:@.*)?$	Frankfurt am Main style label
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-gnf1@53024	1	classified	Geneva	CH	CH	medium	regex	30	^tld-all-gnf[0-9](?:@.*)?$	Geneva style label
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-lis1@53024	1	classified	Lisbon	PT	EU	high	regex	30	^tld-all-lis[0-9](?:@.*)?$	City code in tld-all NSID
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-lju1@53024	3	classified	Ljubljana	SI	EU	high	regex	30	^tld-all-lju[0-9](?:@.*)?$	City code in tld-all NSID
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-lon1@53024	1	classified	London	GB	UK	high	regex	30	^tld-all-lon[0-9](?:@.*)?$	City code in tld-all NSID
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-lux1@53024	1	classified	Luxembourg	LU	EU	high	regex	30	^tld-all-lux[0-9](?:@.*)?$	City code in tld-all NSID
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-mad1@53024	4	classified	Madrid	ES	EU	high	regex	30	^tld-all-mad[0-9](?:@.*)?$	City code in tld-all NSID
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-mel1@53024	1	classified	Melbourne	AU	Other non EU	high	regex	30	^tld-all-mel[0-9](?:@.*)?$	City code in tld-all NSID
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-mil1@53024	5	classified	Milan	IT	EU	high	regex	30	^tld-all-mil[0-9](?:@.*)?$	City code in tld-all NSID
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-par1@53024	4	classified	Paris	FR	EU	high	regex	30	^tld-all-par[0-9](?:@.*)?$	City code in tld-all NSID
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-prs1@53024	2	unknown			Unknown	unknown				No defensible NSID mapping rule matched
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-rig1	7	classified	Riga	LV	EU	high	regex	30	^tld-all-rig[0-9](?:@.*)?$	City code in tld-all NSID
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-sto1@53024	6	classified	Stockholm	SE	EU	high	regex	30	^tld-all-sto[0-9](?:@.*)?$	City code in tld-all NSID
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-tam1@53024	2	classified	Tampere	FI	EU	medium	regex	30	^tld-all-tam[0-9](?:@.*)?$	Tampere style label
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-vnn1@53024	10	classified	Vienna	AT	EU	medium	regex	30	^tld-all-vnn[0-9](?:@.*)?$	Vienna style label
173811462	.nl	ns3.dns.nl	194.0.25.24	nl.	tld-all-waw1@53024	3	classified	Warsaw	PL	EU	high	regex	30	^tld-all-waw[0-9](?:@.*)?$	City code in tld-all NSID
173811463	.nl	ns4.dns.nl	185.159.199.200	nl.	CDG1	10	classified	Paris	FR	EU	high	regex	50	^CDG[0-9]+$	IATA style airport code
173811463	.nl	ns4.dns.nl	185.159.199.200	nl.	CDG2	13	classified	Paris	FR	EU	high	regex	50	^CDG[0-9]+$	IATA style airport code
173811463	.nl	ns4.dns.nl	185.159.199.200	nl.	FRA1	13	classified	Frankfurt	DE	EU	high	regex	50	^FRA[0-9]+$	IATA style airport code
173811463	.nl	ns4.dns.nl	185.159.199.200	nl.	FRA2	11	classified	Frankfurt	DE	EU	high	regex	50	^FRA[0-9]+$	IATA style airport code
173811463	.nl	ns4.dns.nl	185.159.199.200	nl.	LHR3	9	classified	London	GB	UK	high	regex	50	^LHR[0-9]+$	IATA style airport code
173811463	.nl	ns4.dns.nl	185.159.199.200	nl.	LHR4	12	classified	London	GB	UK	high	regex	50	^LHR[0-9]+$	IATA style airport code
173811463	.nl	ns4.dns.nl	185.159.199.200	nl.	MAD1	2	classified	Madrid	ES	EU	high	regex	50	^MAD[0-9]+$	IATA style airport code
173811463	.nl	ns4.dns.nl	185.159.199.200	nl.	PRG1	2	classified	Prague	CZ	EU	high	regex	50	^PRG[0-9]+$	IATA style airport code
173811463	.nl	ns4.dns.nl	185.159.199.200	nl.	STO1	4	classified	Stockholm	SE	EU	high	regex	50	^STO[0-9]+$	City code style label
173811463	.nl	ns4.dns.nl	185.159.199.200	nl.	STO2	1	classified	Stockholm	SE	EU	high	regex	50	^STO[0-9]+$	City code style label
173811463	.nl	ns4.dns.nl	185.159.199.200	nl.	TYO2	1	classified	Tokyo	JP	Other non EU	high	regex	50	^TYO[0-9]+$	IATA metropolitan code style label
173811464	.de	a.nic.de	194.0.0.53	de.	ns-1.de.at1.bind	18	classified		AT	EU	high	regex	60	^ns-[0-9]+\.de\.at[0-9]+\.	DENIC country code in NSID
173811464	.de	a.nic.de	194.0.0.53	de.	ns-1.de.de8.knot	8	classified		DE	EU	high	regex	60	^ns-[0-9]+\.de\.de[0-9]+\.	DENIC country code in NSID
173811464	.de	a.nic.de	194.0.0.53	de.	ns-1.de.nl1.knot	14	classified		NL	EU	high	regex	60	^ns-[0-9]+\.de\.nl[0-9]+\.	DENIC country code in NSID
173811464	.de	a.nic.de	194.0.0.53	de.	ns-1.de.se1.bind	4	classified		SE	EU	high	regex	60	^ns-[0-9]+\.de\.se[0-9]+\.	DENIC country code in NSID
173811464	.de	a.nic.de	194.0.0.53	de.	ns-2.de.de8.knot	5	classified		DE	EU	high	regex	60	^ns-[0-9]+\.de\.de[0-9]+\.	DENIC country code in NSID
173811464	.de	a.nic.de	194.0.0.53	de.	ns-2.de.nl1.knot	11	classified		NL	EU	high	regex	60	^ns-[0-9]+\.de\.nl[0-9]+\.	DENIC country code in NSID
173811464	.de	a.nic.de	194.0.0.53	de.	ns-2.de.se1.bind	7	classified		SE	EU	high	regex	60	^ns-[0-9]+\.de\.se[0-9]+\.	DENIC country code in NSID
