zone	ns_name	ipv4	soa_status	soa_aa	nsid	hostname_bind	id_server	soa_query_ms
sk	e.tld.sk.	194.169.218.16	NOERROR	yes	MKNE-YS4NAG-GNCI6O	MKNE-YS4NAG-GNCI6O	MKNE-YS4NAG-GNCI6O	129
sk	f.tld.sk.	185.24.64.16	NOERROR	yes	PDUS-VJ5JVS-CTI2KM	MBBQ-HL0WP7-P2BCQ3	MBBQ-HL0WP7-P2BCQ3	26
sk	g.tld.sk.	212.18.248.16	NOERROR	yes	MKNE-YS4NAG-GNCI6O	MKNE-YS4NAG-GNCI6O	MKNE-YS4NAG-GNCI6O	125
sk	h.tld.sk.	212.18.249.16	NOERROR	yes	MBBQ-HL0WP7-P2BCQ3	MBBQ-HL0WP7-P2BCQ3	PDUS-VJ5JVS-CTI2KM	21
si	b.dns.si.	153.5.81.140	NOERROR	yes		srebrnjak.register.si	srebrnjak.register.si	43
si	f.dns.si.	194.146.106.62	NOERROR	yes	s2.amx	s2.amx	s2.amx	24
si	h.dns.si.	204.61.216.54	NOERROR	yes	6.ams.pch	2.ams.pch	3.ams.pch	20
si	i.dns.si.	194.0.25.22	NOERROR	yes	tld-all-amx1@53022	tld-all-amx1@53022	tld-all-amx1@53022	16
si	k.dns.si.	185.159.197.11	NOERROR	yes	LHR3	LHR4	LHR4	23
si	l.dns.si.	185.159.198.11	NOERROR	yes	FRA2	FRA1	FRA2	23
ee	b.tld.ee.	194.146.106.110	NOERROR	yes	s2.amx	s2.amx	s2.amx	26
ee	e.tld.ee.	204.61.216.36	NOERROR	yes	3.ams.pch	3.ams.pch	6.ams.pch	23
ee	ee.cert.ee.	46.226.142.147	NOERROR	yes	ee_cert_ee			47
ee	ee.eenet.ee.	193.40.132.5	NOERROR	yes		eenet-n4		46
ee	ns.tld.ee.	195.43.87.10	NOERROR	yes	dns-tld-n2.infra.tld.ee	dns-tld-n2	dns-tld-n2	58
lv	a.nic.lv.	194.0.48.1	NOERROR	yes	a-riga		a-riga	55
lv	b.nic.lv.	92.240.70.1	NOERROR	yes	b-nic		b-nic	51
lv	c.nic.lv.	185.159.199.140	NOERROR	yes	LHR3	FRA2	FRA2	25
lv	d.nic.lv.	194.0.8.1	NOERROR	yes	ac-sanp		ac-valm	244
lv	n.nic.lv.	194.146.106.150	NOERROR	yes	s2.amx	s2.amx	s2.amx	21
lv	nu.nic.lv.	77.72.229.249	NOERROR	yes	u1.sub	u1.stu	u1.sub	45
lv	sunic.sunet.se.	192.36.125.2	NOERROR	yes				43
lt	a.tld.lt.	185.150.40.131	NOERROR	yes	AD	AD	AD	65
lt	b.tld.lt.	194.0.20.1	NOERROR	yes	BB	BB	BB	54
lt	d.tld.lt.	194.0.3.1	NOERROR	yes		DT	DS	48
lt	e.tld.lt.	194.0.18.1	NOERROR	yes		DLJ	DLJ	73
lt	f.tld.lt.	194.0.19.1	NOERROR	yes		PHX	PHX	32
lt	r.tld.lt.	194.0.25.46	NOERROR	yes	tld-all-amx1@53046	tld-all-amx1@53046	tld-all-amx1@53046	17
eu	be.dns.eu.	149.38.1.26	NOERROR	yes				28
eu	si.dns.eu.	193.2.221.62	NOERROR	yes				44
eu	w.dns.eu.	194.0.25.28	NOERROR	yes	tld-all-amx1@53028	tld-all-amx1@53028	tld-all-amx1@53028	21
eu	x.dns.eu.	185.151.141.1	NOERROR	yes	ns-1.eu.nl1.bind	ns-1.eu.nl1.bind	ns-2.eu.nl1.bind	20
eu	y.dns.eu.	194.146.106.90	NOERROR	yes	s2.amx	s2.amx	s2.amx	19
